word,type,cefr,definition,example,Synonyms,Antonyms,Rhymes,Related
a,indefinite article,a1,used before countable or singular nouns referring to people or things that have not already been mentioned,a man/horse/unit,"equally, every bit, arsenic, atomic number 33, electricity",,"the, ca, kumbaya, le, duh",
abandon,verb,b2,"to leave somebody, especially somebody you are responsible for, with no intention of returning","abandon somebody, The baby had been abandoned by its mother.","forsake, give up, vacate, desert, desolate",,"brandon, stand-in, hand in, prostaglandin, randan","altogether, retreat, flee, sank, ship"
ability,noun,a2,the fact that somebody/something is able to do something,People with the disease may lose their ability to communicate.,"power, suitability, fit, competency, feasibility","inability, unfitness","facility, humility, liability, responsibility, utility","aptitude, manipulate, absorb, psychologist, communicate"
able,adjective,a2,"to have the skill, intelligence, opportunity, etc. needed to do something",You must be able to speak French for this job.,"capable, competent, fit, healthy, able-bodied","unable, not able","table, label, enable, stable, cable","withstand, convince, communicate, afford, detect"
about,adverb,a1,a little more or less than; a little before or after,It costs about $10.,"near, nigh, well-nigh, almost, virtually",,"out, route, doubt, tout, rout",
about,preposition,a1,on the subject of somebody/something; in connection with somebody/something,a book about flowers,"near, nigh, well-nigh, almost, virtually",,"out, route, doubt, tout, rout",
above,adverb,a1,at or to a higher place,Put it on the shelf above.,"supra, preceding, higher up, in a higher place, to a higher place","below, beneath, at a lower place, to a lower place","of, love, dove, shove, glove","asphalt, sea, level, runway, mean"
above,preposition,a1,at or to a higher place or position than something/somebody,The water came above our knees.,"supra, preceding, higher up, in a higher place, to a higher place","below, beneath, at a lower place, to a lower place","of, love, dove, shove, glove","asphalt, sea, level, runway, mean"
abroad,adverb,a2,in or to a foreign country,to go/travel/live/study abroad,"foreign, afield, overseas, beyond the sea, over the sea",,"god, rod, facade, pod, fraud","overseas, signing, citizenship, foreign, switzerland"
absolute,adjective,b2,total and complete,I've joined a class for absolute beginners.,"unconditioned, unconditional, unquestioning, undiluted, unmixed",relative,"suit, attribute, moot, shoot, root","primogeniture, magnitude, monarchy, albedo, brahman"
absolutely,adverb,b1,used to emphasize that something is completely true,You're absolutely right.,"utterly, perfectly, dead, plainly, downright",,"acutely, resolutely, astutely, mutely, cutely","fabulous, convergent, thrilled, whatsoever, kosher"
academic,adjective,b1,"connected with education, especially studying in schools and universities",high/low academic standards,"scholarly, donnish, academician, theoretical, pedantic",,"polemic, endemic, epidemic, systemic, pandemic","achievement, journals, excellence, disciplines, math"
academic,noun,b2,a person who teaches and/or does research at a university or college,a leading/distinguished/prominent academic,"scholarly, donnish, academician, theoretical, pedantic",,"polemic, endemic, epidemic, systemic, pandemic","achievement, journals, excellence, disciplines, math"
accept,verb,a2,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",He asked me to marry him and I accepted.,"admit, consent, have, take on, assume","decline, refuse, reject, turn down, pass up","precept, adept, except, inept, intercept","reject, invitation, offer, payment, appointment"
acceptable,adjective,b2,agreed or approved of by most people in a society,Children must learn socially acceptable behaviour.,"satisfactory, fit, good, tolerable, accepted",unacceptable,"susceptible, imperceptible, unacceptable, perceptible","unacceptable, academically, accountability, agency, intake"
access,noun,b1,the opportunity or right to use something or to see somebody/something,High-speed internet access has become a necessity.,"get at, approach, admittance, entree, memory access",,"process, address, assess, press, express","sanitation, internet, wireless, database, restricted"
access,verb,b1,to open a computer file or use a computer system,Most people use their phones to access the internet.,"get at, approach, admittance, entree, memory access",,"process, address, assess, press, express","sanitation, internet, wireless, database, restricted"
accident,noun,a2,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",a car/road/traffic accident,"fortuity, chance event, accidental, casualty, adventitious",,,"coma, collision, wheelchair, crash, occurred"
accommodation,noun,b1,"a place to live, work or stay in",rented/temporary accommodation,"adjustment, fitting, hostel, lodgings, lodging",,"communication, information, operation, education, implication","pusher, hostel, caravan, camping, longitudinal"
accompany,verb,b2,to travel or go somewhere with somebody/something,"accompany somebody/something + adv./prep., His wife accompanied him on the trip.","keep company, companion, company, follow, come with",,"company, tympany, tympani, compagnie, intercompany","youtube, onto, length, trip, journey"
according to,preposition,a2,as stated or reported by somebody/something,"According to Mick, it's a great movie.","based on, apparently, attributing, accordance, approximately",,,
account,noun,b1,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.",I don't have a bank account.,"account statement, invoice, report, write up, news report",,"count, mount, paramount, amount, tantamount","revenues, accounts, twitter, voyage, balance"
account,verb,b2,to have the opinion that somebody/something is a particular thing,"be accounted + adj., In English law a person is accounted innocent until they are proved guilty.","account statement, invoice, report, write up, news report",,"count, mount, paramount, amount, tantamount","revenues, accounts, twitter, voyage, balance"
accurate,adjective,b2,correct and true in every detail,an accurate description/picture of something,"veracious, true, exact, precise, straight",inaccurate,inaccurate,"measurements, clocks, measurement, prediction, timely"
accuse,verb,b2,to say that somebody has done something wrong or is guilty of something,"accuse somebody of something, to accuse somebody of murder/a crime","criminate, incriminate, impeach, charge, accusation",,"lose, choose, abuse, muse, recuse","plagiarism, hypocrisy, treason, witchcraft, abusing"
achieve,verb,a2,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time",He had finally achieved success.,"attain, accomplish, reach, attainment, attained",,"leave, naive, retrieve, perceive, believe","feat, objectives, desired, goals, objective"
achievement,noun,b1,"a thing that somebody has done successfully, especially using their own effort and skill",the greatest scientific achievement of the decade,"accomplishment, achieving, achieved, successful, attainment",,bereavement,"prioritize, percentile, math, algebra, award"
acknowledge,verb,b2,to accept that something is true,"acknowledge something, She refuses to acknowledge the need for reform.","admit, recognize, know, receipt, notice",deny,"knowledge, college, tallage, smallage, hallage","suzerainty, receipt, supremacy, legitimacy, achievements"
